artist,album,track_name,release_date,popularity,genres,sub-genres,explicit,followers,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,duration_ms,time_signature,playlist,mood
Jennifer Lopez,Rebirth,Get Right,2005-03-01,56,dance pop, pop,0,12323081,0rLzyBecRbTpnBWvMtPVFR,0.741,0.759,0,-5.096,0,0,0,0,97.084,225533,4,playlist_2005,0
Gwen Stefani,Love Angel Music Baby (Deluxe Version),Cool,2004-11-23,56,dance pop, pop,0,5892266,469RmLzEsicj8VSn9aIuKV,0.709,0.721,2,-3.52,1,0,0,0,112.019,189333,4,playlist_2005,1
Baby Bash,Super Saucy,"Baby, I'm Back",2005,56,chicano rap, dance pop,1,859353,6EfyEbyk4XjCisJz90V8Ki,0.901,0.392,9,-4.414,0,0,0,0,100.014,219187,4,playlist_2005,1
Eminem,Encore,Ass Like That,2004-11-12,55,detroit hip hop, hip hop,1,67857271,0avjVeujL8PYfm8tKKszLH,0.646,0.796,2,-6.152,1,0,0,0,83.093,265480,4,playlist_2005,1
50 Cent,Outta Control (Remix),Outta Control - Remix,2005-01-01,54,east coast hip hop, gangster rap,1,10532326,7BKi4ZcyMBXeAvJ1OPxhdV,0.77,0.587,8,-5.99,0,0,0,0,92.009,247973,4,playlist_2005,1
Black Eyed Peas,Monkey Business,Don't Phunk With My Heart,2005-01-01,54,dance pop, pop,0,7322699,4MtDnnAJ1AtWit10FRmZdW,0.689,0.929,5,-2.76,0,0,0,0,130.899,239773,4,playlist_2005,1
Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean),2005-11-28,84,colombian pop, dance pop,0,27925279,3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0,0,0,100.024,218093,4,playlist_2006,1
Sean Paul,The Trinity,Temperature,2005-09-26,78,dance pop, dancehall,0,4277084,0k2GOhqsrxDTAbFFSdNJjT,0.951,0.6,0,-4.675,0,0,0,0,125.04,218573,4,playlist_2006,1
Justin Timberlake,FutureSex/LoveSounds,SexyBack (feat. Timbaland),2006-09-12,77,dance pop, pop,1,12741011,0O45fw2L5vsWpdsOdXwNAR,0.967,0.583,7,-5.562,0,0,0,0,117.0,242733,4,playlist_2006,1
Beyoncé,B'Day Deluxe Edition,Irreplaceable,2007-05-29,70,dance pop, pop,0,34011219,6RX5iL93VZ5fKmyvNXvF1r,0.447,0.694,7,-4.637,0,0,0,0,175.868,227853,4,playlist_2006,1
Amy Winehouse,Back To Black (Deluxe Edition),Rehab,2006,72,british soul, neo soul,0,8327279,3N4DI1vuTSX1tz7fa2NQZw,0.407,0.558,0,-13.609,1,0,0,0,71.815,214947,4,playlist_2006,1
Rihanna,A Girl Like Me,SOS,2006-04-10,77,barbadian pop, pop,0,53901957,30cSNer6TV8x2utjULVeQ5,0.677,0.671,7,-4.905,1,0,0,0,137.046,238920,4,playlist_2006,1
Gnarls Barkley,St. Elsewhere,Crazy,2006-05-02,72,atl hip hop, neo soul,0,481079,2N5zMZX7YeL1tico8oQxa9,0.835,0.741,8,-1.609,1,0,0,0,111.963,182066,4,playlist_2006,1
Nelly Furtado,Loose,Promiscuous,2006-01-01,82,canadian latin, canadian pop,0,3380485,2gam98EZKrF9XuOkU13ApN,0.808,0.97,10,-6.098,0,0,0,0,114.328,242293,4,playlist_2006,1
Snow Patrol,Eyes Open,Chasing Cars,2006-01-01,79,irish rock, neo mellow,0,2791646,5hnyJvgoWiQUYZttV4wXy6,0.56,0.595,9,-4.53,1,0,0,0,104.011,267960,4,playlist_2006,0
The Fray,How To Save A Life,How to Save a Life,2005-09-13,78,neo mellow, piano rock,0,3875526,5fVZC9GiM4e8vu99W0Xf6J,0.64,0.743,10,-4.08,1,0,0,0,122.035,262533,4,playlist_2006,0
Keyshia Cole,The Way It Is,Love,2005-01-01,78,contemporary r&b, dance pop,0,3413930,0W4NhJhcqKCqEP2GIpDCDq,0.688,0.519,5,-4.285,1,0,0,0,116.714,255333,4,playlist_2006,0
Ne-Yo,In My Own Words,So Sick,2006-01-01,77,dance pop, pop,0,7825791,6brl7bwOHmGFkNw3MBqssT,0.452,0.574,6,-8.336,1,0,0,0,92.791,207187,4,playlist_2006,1
Corinne Bailey Rae,Corinne Bailey Rae,Put Your Records On,2006-01-01,77,british soul, neo mellow,0,720617,2nGFzvICaeEWjIrBrL2RAx,0.739,0.511,9,-7.844,1,0,0,0,96.038,215360,4,playlist_2006,1
Red Hot Chili Peppers,Stadium Arcadium,Dani California,2006-05-09,76,alternative rock, funk metal,0,19377055,10Nmj3JCNoMeBQ87uw5j8k,0.556,0.913,0,-2.36,1,0,0,0,96.184,282160,4,playlist_2006,1
