popularity,genres,sub-genres,explicit,followers,danceability,energy,key,loudness,mode,instrumentalness,liveness,tempo,duration_ms,time_signature,mood
62,40,36,1,1571065,0.744,0.697,11,-5.063,0,0,0,149.28,247413,4,1
62,104,65,1,2570318,0.607,0.599,11,-6.886,1,0,0,86.491,253573,4,1
62,104,63,1,2686365,0.727,0.71,4,-6.142,1,0,0,81.995,287480,4,0
62,26,112,0,10051,0.716,0.757,11,-5.438,0,0,0,139.986,178614,4,1
62,152,147,0,1254507,0.451,0.939,5,-2.82,0,0,0,93.416,204200,4,0
61,105,98,0,19921759,0.421,0.98,1,-4.229,1,0,0,165.193,170253,4,0
61,68,67,0,2774223,0.775,0.731,8,-5.446,1,0,0,131.105,256427,4,1
60,77,67,0,1562823,0.704,0.854,10,-5.477,0,0,0,92.988,242587,4,1
60,157,125,0,215873,0.7,0.607,5,-6.804,1,0,0,126.045,240547,4,1
60,122,177,0,116773,0.764,0.487,0,-6.734,1,0,0,116.027,261320,4,0
60,170,177,1,164458,0.621,0.6,8,-6.349,1,0,0,80.021,253707,4,0
59,117,137,0,3494857,0.916,0.849,3,-5.034,0,0,0,121.002,255773,4,1
59,68,127,0,1450416,0.584,0.681,1,-5.084,0,0,0,79.702,237173,4,1
59,0,177,1,19969,0.88,0.438,0,-7.562,1,0,0,90.02,324907,4,1
59,175,177,0,295861,0.733,0.744,1,-3.51,1,0,0,92.515,241133,4,1
59,68,42,0,23391979,0.787,0.808,7,-5.454,1,0,0,127.99,333680,4,1
59,7,36,1,343540,0.697,0.86,11,-5.181,1,0,0,160.895,263920,4,0
59,68,36,0,1322168,0.772,0.59,6,-6.957,1,0,0,83.998,238267,4,1
59,168,177,1,40523576,0.803,0.851,7,-2.429,1,0,0,113.996,211080,4,1
58,68,120,1,12907964,0.859,0.681,1,-6.247,1,0,0,121.243,444333,4,1
58,84,57,1,11171355,0.63,0.782,8,-5.44,0,0,0,140.144,247947,4,0
56,77,156,0,145018,0.723,0.644,11,-6.863,0,0,0,144.09,261027,4,1
55,86,43,0,560599,0.537,0.937,0,-4.543,1,0,0,124.938,198567,4,0
55,104,64,1,670364,0.506,0.799,1,-6.58,1,0,0,120.405,236080,5,0
54,35,177,0,3649524,0.551,0.554,10,-5.425,1,0,0,122.021,206680,4,0
82,68,93,0,8854861,0.918,0.609,10,-5.64,0,0,0,128.008,231400,4,0
72,168,177,0,27030222,0.699,0.76,5,-3.173,1,0,0,129.996,179640,4,1
79,24,120,0,55220475,0.697,0.467,9,-7.536,1,0,0,82.082,229413,4,1
76,155,120,0,10716101,0.644,0.549,1,-5.415,0,0,0,90.04,253813,4,0
74,68,120,0,2511177,0.653,0.604,8,-6.017,1,0,0,118.016,184400,4,0
78,68,120,0,7970409,0.673,0.683,1,-5.693,1,0,0,171.86,232000,4,1
76,174,139,0,19533399,0.662,0.693,3,-4.298,1,0,0,86.009,252120,4,1
68,168,137,0,34593078,0.632,0.518,6,-6.126,1,0,0,90.007,249147,4,0
89,166,120,0,44257589,0.486,0.617,5,-7.115,0,0,0,138.015,242373,4,0
86,53,65,1,20103224,0.639,0.628,6,-7.578,0,0,0,90.482,237507,4,0
83,152,147,0,5208380,0.542,0.905,9,-5.653,1,0,0,153.398,203347,4,0
83,11,113,1,5024333,0.55,0.917,0,-3.159,1,0,0,126.115,177827,4,1
82,24,120,0,55220475,0.835,0.669,6,-5.582,0,0,0,122.668,267080,4,1
